"","Muni","Age","Death"
"1","110001",0,"  19"
"2","110001",1,"  2"
"3","110001",5,"  2"
"4","110001",10,"  2"
"5","110001",15,"  1"
"6","110001",20,"  0"
"7","110001",25,"  0"
"8","110001",30,"  2"
"9","110001",35,"  1"
"10","110001",40,"  3"
"11","110001",45,"   1"
"12","110001",50,"   6"
"13","110001",55,"   4"
"14","110001",60,"   3"
"15","110001",65,"   4"
"16","110001",70,"   5"
"17","110001",75,"   2"
"18","110001",80,"   4"
"19","110037",0,"   2"
"20","110037",1,"  1"
"21","110037",5,"  0"
"22","110037",10,"  1"
"23","110037",15,"  0"
"24","110037",20,"  0"
"25","110037",25,"  0"
"26","110037",30,"  0"
"27","110037",35,"  0"
"28","110037",40,"  0"
"29","110037",45,"   0"
"30","110037",50,"   1"
"31","110037",55,"   0"
"32","110037",60,"   2"
"33","110037",65,"   1"
"34","110037",70,"   3"
"35","110037",75,"   0"
"36","110037",80,"   0"
"37","110040",0,"   2"
"38","110040",1,"  0"
"39","110040",5,"  0"
"40","110040",10,"  0"
"41","110040",15,"  2"
"42","110040",20,"  0"
"43","110040",25,"  0"
"44","110040",30,"  0"
"45","110040",35,"  0"
"46","110040",40,"  0"
"47","110040",45,"   3"
"48","110040",50,"   2"
"49","110040",55,"   1"
"50","110040",60,"   1"
"51","110040",65,"   0"
"52","110040",70,"   0"
"53","110040",75,"   0"
"54","110040",80,"   0"
"55","110034",0,"   3"
"56","110034",1,"  0"
"57","110034",5,"  0"
"58","110034",10,"  0"
"59","110034",15,"  1"
"60","110034",20,"  1"
"61","110034",25,"  0"
"62","110034",30,"  1"
"63","110034",35,"  0"
"64","110034",40,"  0"
"65","110034",45,"   0"
"66","110034",50,"   1"
"67","110034",55,"   1"
"68","110034",60,"   0"
"69","110034",65,"   1"
"70","110034",70,"   4"
"71","110034",75,"   0"
"72","110034",80,"   0"
"73","110002",0,"  12"
"74","110002",1,"  8"
"75","110002",5,"  1"
"76","110002",10,"  3"
"77","110002",15,"  4"
"78","110002",20,"  4"
"79","110002",25,"  0"
"80","110002",30,"  4"
"81","110002",35,"  4"
"82","110002",40,"  6"
"83","110002",45,"   8"
"84","110002",50,"   3"
"85","110002",55,"   6"
"86","110002",60,"   9"
"87","110002",65,"  12"
"88","110002",70,"   4"
"89","110002",75,"   7"
"90","110002",80,"  20"
"91","110045",0,"   4"
"92","110045",1,"  2"
"93","110045",5,"  0"
"94","110045",10,"  1"
"95","110045",15,"  0"
"96","110045",20,"  0"
"97","110045",25,"  3"
"98","110045",30,"  0"
"99","110045",35,"  0"
"100","110045",40,"  0"
"101","110045",45,"   1"
"102","110045",50,"   2"
"103","110045",55,"   0"
"104","110045",60,"   1"
"105","110045",65,"   2"
"106","110045",70,"   1"
"107","110045",75,"   1"
"108","110045",80,"   1"
"109","110003",0,"   1"
"110","110003",1,"  0"
"111","110003",5,"  0"
"112","110003",10,"  0"
