"","Muni","Age","Death"
"1","110001",0,"   3"
"2","110001",1,"  0"
"3","110001",5," 0"
"4","110001",10,"  0"
"5","110001",15,"  0"
"6","110001",20,"  3"
"7","110001",25,"  0"
"8","110001",30,"  0"
"9","110001",35,"   1"
"10","110001",40,"   0"
"11","110001",45,"   3"
"12","110001",50,"   5"
"13","110001",55,"   2"
"14","110001",60,"   1"
"15","110001",65,"  13"
"16","110001",70,"   6"
"17","110001",75,"   9"
"18","110001",80,"  10"
"19","110037",0,"   1"
"20","110037",1,"  0"
"21","110037",5," 0"
"22","110037",10,"  1"
"23","110037",15,"  1"
"24","110037",20,"  3"
"25","110037",25,"  1"
"26","110037",30,"  2"
"27","110037",35,"   3"
"28","110037",40,"   1"
"29","110037",45,"   0"
"30","110037",50,"   0"
"31","110037",55,"   1"
"32","110037",60,"   3"
"33","110037",65,"   1"
"34","110037",70,"   2"
"35","110037",75,"   2"
"36","110037",80,"   7"
"37","110040",0,"   0"
"38","110040",1,"  2"
"39","110040",5," 0"
"40","110040",10,"  1"
"41","110040",15,"  2"
"42","110040",20,"  5"
"43","110040",25,"  3"
"44","110040",30,"  1"
"45","110040",35,"   6"
"46","110040",40,"   3"
"47","110040",45,"   6"
"48","110040",50,"   1"
"49","110040",55,"   2"
"50","110040",60,"   2"
"51","110040",65,"   2"
"52","110040",70,"   5"
"53","110040",75,"   1"
"54","110040",80,"   3"
"55","110034",0,"   1"
"56","110034",1,"  0"
"57","110034",5," 0"
"58","110034",10,"  0"
"59","110034",15,"  0"
"60","110034",20,"  0"
"61","110034",25,"  3"
"62","110034",30,"  2"
"63","110034",35,"   1"
"64","110034",40,"   0"
"65","110034",45,"   0"
"66","110034",50,"   3"
"67","110034",55,"   4"
"68","110034",60,"   2"
"69","110034",65,"   2"
"70","110034",70,"   6"
"71","110034",75,"   3"
"72","110034",80,"   8"
"73","110002",0,"  10"
"74","110002",1,"  1"
"75","110002",5," 4"
"76","110002",10,"  1"
"77","110002",15,"  8"
"78","110002",20," 17"
"79","110002",25," 15"
"80","110002",30," 15"
"81","110002",35,"  16"
"82","110002",40,"  17"
"83","110002",45,"  21"
"84","110002",50,"  16"
"85","110002",55,"  20"
"86","110002",60,"  21"
"87","110002",65,"  26"
"88","110002",70,"  19"
"89","110002",75,"  21"
"90","110002",80,"  34"
"91","110045",0,"   3"
"92","110045",1,"  0"
"93","110045",5," 0"
"94","110045",10,"  3"
"95","110045",15,"  0"
"96","110045",20,"  5"
"97","110045",25,"  6"
"98","110045",30,"  2"
"99","110045",35,"   5"
"100","110045",40,"   2"
"101","110045",45,"   3"
"102","110045",50,"   5"
"103","110045",55,"   7"
"104","110045",60,"   3"
"105","110045",65,"   6"
"106","110045",70,"   4"
"107","110045",75,"   2"
"108","110045",80,"   7"
"109","110003",0,"   2"
"110","110003",1,"  0"
"111","110003",5," 0"
"112","110003",10,"  0"
"113","110003",15,"  0"
"114","110003",20,"  0"
