Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;2;0;1;0;3;2;0;2;1;4;1;2;2;4;4;7;8;5;9;10;5;11;0;80
110037 Alto Alegre dos Parecis;1;0;3;0;4;0;0;1;0;2;0;1;0;2;3;1;3;1;1;2;1;5;0;27
110040 Alto Paraíso;3;0;0;0;3;0;0;0;1;2;6;5;2;2;2;4;7;4;3;4;5;5;0;55
110034 Alvorada D'Oeste;1;0;0;0;1;0;1;0;2;1;5;1;2;1;3;3;3;2;1;4;4;8;0;42
110002 Ariquemes;4;3;0;0;7;2;3;6;14;18;12;15;12;23;16;19;21;21;20;31;26;44;0;310
110045 Buritis;4;2;0;0;6;0;2;1;4;4;6;9;7;3;3;3;6;7;8;6;8;3;0;86
110003 Cabixi;1;0;0;0;1;0;0;0;0;3;0;0;1;0;1;0;3;2;2;2;2;5;0;22
110060 Cacaulândia;0;1;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;1;1;1;1;2;0;11
110004 Cacoal;6;3;5;0;14;2;2;2;6;11;10;4;9;6;20;15;14;13;11;14;16;43;0;212
110070 Campo Novo de Rondônia;0;0;0;0;0;0;0;0;3;1;1;4;1;6;3;3;3;0;2;2;3;0;0;32
110080 Candeias do Jamari;3;1;1;0;5;1;1;3;3;3;2;3;4;0;1;3;4;1;2;2;5;10;0;53
110090 Castanheiras;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;1;1;3;2;0;11
110005 Cerejeiras;0;0;0;0;0;1;0;0;4;1;2;1;2;3;2;1;4;4;8;4;5;13;0;55
