Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;2;0;1;3;0;0;0;0;3;0;0;1;0;3;5;2;1;13;6;9;10;0;56
110037 Alto Alegre dos Parecis;1;0;0;1;0;0;1;1;3;1;2;3;1;0;0;1;3;1;2;2;7;0;29
110040 Alto Paraíso;0;0;0;0;2;0;1;2;5;3;1;6;3;6;1;2;2;2;5;1;3;1;46
110034 Alvorada D'Oeste;0;0;1;1;0;0;0;0;0;3;2;1;0;0;3;4;2;2;6;3;8;0;35
110002 Ariquemes;6;0;4;10;1;4;1;8;17;15;15;16;17;21;16;20;21;26;19;21;34;0;282
110045 Buritis;3;0;0;3;0;0;3;0;5;6;2;5;2;3;5;7;3;6;4;2;7;3;66
110003 Cabixi;2;0;0;2;0;0;0;0;0;1;1;1;1;0;0;2;1;3;4;2;1;0;19
110060 Cacaulândia;0;0;0;0;0;0;1;0;1;1;2;1;0;0;1;1;2;1;0;5;0;0;16
110004 Cacoal;5;0;2;7;0;2;0;7;6;4;7;10;5;7;13;14;17;9;25;23;53;0;209
110070 Campo Novo de Rondônia;2;0;1;3;0;0;0;1;2;1;3;1;2;3;1;0;1;3;0;2;1;0;24
110080 Candeias do Jamari;5;2;2;9;3;1;0;1;5;2;8;3;4;4;5;7;3;4;6;5;8;3;81
110090 Castanheiras;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;2;0;1;1;0;8
110005 Cerejeiras;0;0;1;1;1;0;0;1;2;1;2;1;0;3;3;4;6;4;6;5;9;0;49
110092 Chupinguaia;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;2;1;1;1;2;2;0;13
110006 Colorado do Oeste;0;0;2;2;0;1;1;3;1;0;0;1;1;2;4;3;7;12;5;5;9;0;57
110007 Corumbiara;1;0;2;3;0;2;1;0;2;0;0;0;0;1;0;3;3;0;2;0;1;1;19
110008 Costa Marques;2;0;0;2;0;0;0;0;1;1;3;1;1;1;2;1;2;3;2;1;2;0;23
110094 Cujubim;0;0;1;1;0;0;0;0;2;2;0;0;2;2;4;4;3;3;2;0;4;0;29
110009 Espigão D'Oeste;2;1;0;3;2;0;0;1;4;0;2;2;7;4;6;2;7;5;11;14;13;0;83
110100 Governador Jorge Teixeira;1;1;0;2;0;0;0;0;1;1;1;2;2;1;0;0;1;2;0;0;6;0;19
110010 Guajará-Mirim;1;0;6;7;2;1;3;2;4;4;1;2;7;10;6;6;10;5;11;7;31;0;119
110110 Itapuã do Oeste;2;0;0;2;1;0;0;1;2;0;3;3;5;1;0;2;3;4;1;1;0;0;29
110011 Jaru;1;1;1;3;2;2;0;4;6;7;8;4;8;8;7;13;4;7;11;19;22;1;136
110012 Ji-Paraná;10;1;3;14;3;2;4;9;14;22;17;15;13;28;27;32;31;44;44;39;60;0;418
110013 Machadinho D'Oeste;0;0;1;1;1;2;2;1;4;5;2;7;6;3;8;12;2;1;5;5;9;0;76
110120 Ministro Andreazza;0;0;0;0;0;0;0;1;1;0;0;0;1;1;3;3;3;3;2;0;10;0;28
110130 Mirante da Serra;1;0;1;2;0;1;0;1;1;2;2;0;2;3;1;1;1;2;1;9;6;0;35
110140 Monte Negro;1;0;0;1;0;0;0;1;2;3;2;5;4;6;2;1;2;5;4;3;8;0;49
110014 Nova Brasilândia D'Oeste;0;1;0;1;0;0;0;0;2;0;2;1;2;2;1;1;3;5;3;3;13;0;39
110033 Nova Mamoré;0;2;0;2;0;0;1;2;2;7;1;5;6;2;4;5;3;3;8;5;3;2;61
110143 Nova União;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;2;0;3;0;12
110050 Novo Horizonte do Oeste;0;0;0;0;1;0;0;1;1;0;2;0;2;2;1;0;2;0;5;5;6;0;28
110015 Ouro Preto do Oeste;3;1;1;5;2;1;2;1;5;2;4;2;3;2;4;8;5;9;13;15;25;0;108
