Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;10;4;5;0;19;2;2;2;1;0;0;2;1;3;1;6;4;3;4;5;2;4;0;61
110037 Alto Alegre dos Parecis;1;0;1;0;2;1;0;1;0;0;0;0;0;0;0;1;0;2;1;3;0;0;1;12
110040 Alto Paraíso;2;0;0;0;2;0;0;0;2;0;0;0;0;0;3;2;1;1;0;0;0;0;0;11
110034 Alvorada D'Oeste;2;0;1;0;3;0;0;0;1;1;0;1;0;0;0;1;1;0;1;4;0;0;0;13
110002 Ariquemes;6;3;3;0;12;8;1;3;4;4;0;4;4;6;8;3;6;9;12;4;7;20;0;115
110045 Buritis;1;0;3;0;4;2;0;1;0;0;3;0;0;0;1;2;0;1;2;1;1;1;0;19
110003 Cabixi;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;2;0;3;1;0;1;0;11
110060 Cacaulândia;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;1;1;0;6
110004 Cacoal;11;2;6;0;19;2;3;3;1;6;4;6;4;6;4;1;5;9;9;12;9;27;1;131
110070 Campo Novo de Rondônia;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;7
110080 Candeias do Jamari;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
110090 Castanheiras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
110005 Cerejeiras;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;1;0;0;0;0;6
110092 Chupinguaia;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3
110006 Colorado do Oeste;1;0;1;0;2;1;0;1;1;2;0;2;3;2;3;2;0;5;5;3;6;6;0;44
110007 Corumbiara;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3
110008 Costa Marques;2;0;2;0;4;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;10
110094 Cujubim;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3
110009 Espigão D'Oeste;1;0;4;0;5;1;0;1;1;1;2;0;1;0;0;3;3;3;3;3;1;9;2;39
110100 Governador Jorge Teixeira;2;1;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;8
110010 Guajará-Mirim;1;0;2;0;3;0;1;1;0;1;3;2;3;1;1;4;4;3;2;7;3;14;0;53
110110 Itapuã do Oeste;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2
110011 Jaru;7;3;4;0;14;3;1;2;1;1;2;1;1;2;2;5;3;1;10;4;7;22;0;82
