  Muni Age    Pop
110001   0    176
110001   1    776
110001   5   1034
110001  10   1145
110001  15   1226
110001  20   1095
110001  25   1039
110001  30    916
110001  35    917
110001  40    802
110001  45    720
110001  50    515
110001  55    431
110001  60    311
110001  65    264
110001  70    177
110001  75    119
110001  80     73
110037   0     91
110037   1    451
110037   5    653
110037  10    637
110037  15    628
110037  20    538
110037  25    523
110037  30    523
110037  35    470
110037  40    370
110037  45    306
110037  50    256
110037  55    208
110037  60    146
110037  65    122
110037  70     82
110037  75     38
110037  80     35
110040   0    148
110040   1    575
110040   5    840
110040  10    940
110040  15    820
110040  20    684
110040  25    679
110040  30    649
110040  35    662
110040  40    521
110040  45    392
110040  50    363
110040  55    280
110040  60    213
110040  65    160
110040  70     90
110040  75     54
110040  80     43
110034   0    119
110034   1    527
110034   5    733
110034  10    801
110034  15    872
110034  20    701
110034  25    695
110034  30    700
110034  35    585
110034  40    534
110034  45    482
110034  50    420
110034  55    324
110034  60    214
110034  65    187
110034  70    129
110034  75     84
110034  80     68
110002   0    755
110002   1   2870
110002   5   4109
110002  10   4516
110002  15   4562
110002  20   4525
110002  25   4297
110002  30   3913
110002  35   3513
110002  40   3125
110002  45   2429
110002  50   1828
110002  55   1484
110002  60   1041
110002  65    735
110002  70    497
110002  75    317
110002  80    294
110045   0    284
110045   1   1182
110045   5   1666
110045  10   1715
110045  15   1661
110045  20   1469
110045  25   1568
110045  30   1376
110045  35   1138
110045  40    920
110045  45    760
110045  50    655
110045  55    466
110045  60    293
110045  65    230
110045  70    135
110045  75     60
110045  80     64
110003   0     51
110003   1    215
110003   5    254
110003  10    291
110003  15    278
110003  20    222
110003  25    272
110003  30    225
110003  35    215
110003  40    220
110003  45    202
110003  50    173
110003  55    142
110003  60     94
110003  65     65
110003  70     68
110003  75     34
110003  80     26
110060   0     38
110060   1    201
110060   5    293
110060  10    312
110060  15    267
110060  20    244
110060  25    239
110060  30    242
110060  35    197
110060  40    168
110060  45    143
110060  50    114
110060  55    119
110060  60     61
110060  65     61
110060  70     33
110060  75     24
110060  80     15
110004   0    550
110004   1   2301
110004   5   3072
110004  10   3717
110004  15   3883
110004  20   3962
110004  25   3568
110004  30   3447
110004  35   3129
110004  40   2832
110004  45   2396
110004  50   1945
110004  55   1427
110004  60   1008
110004  65    795
110004  70    607
110004  75    431
110004  80    380
110070   0    127
110070   1    473
110070   5    665
110070  10    682
110070  15    595
110070  20    500
110070  25    515
110070  30    518
110070  35    432
110070  40    345
110070  45    313
110070  50    282
110070  55    174
110070  60    111
110070  65     69
110070  70     46
110070  75     28
110070  80     22
110080   0    216
110080   1    746
110080   5    998
110080  10   1086
110080  15    980
110080  20    873
110080  25    896
110080  30    778
110080  35    639
110080  40    554
110080  45    472
110080  50    379
110080  55    306
110080  60    227
110080  65    124
110080  70     66
110080  75     59
110080  80     60
110090   0     26
110090   1    100
110090   5    155
110090  10    185
110090  15    193
110090  20    139
110090  25    127
110090  30    123
110090  35    140
110090  40    108
110090  45    110
110090  50     78
110090  55     91
110090  60     66
110090  65     39
110090  70     34
110090  75      9
110090  80     23
110005   0    114
110005   1    495
110005   5    657
110005  10    794
110005  15    844
110005  20    795
110005  25    729
110005  30    682
110005  35    662
110005  40    629
110005  45    548
110005  50    406
110005  55    311
110005  60    301
110005  65    196
110005  70    134
110005  75     97
110005  80     84
110092   0     77
110092   1    314
110092   5    401
110092  10    431
110092  15    396
110092  20    364
110092  25    384
110092  30    337
110092  35    297
110092  40    244
110092  45    218
110092  50    121
110092  55    110
110092  60     78
110092  65     61
110092  70     26
110092  75     18
110092  80      9
110006   0    113
110006   1    542
110006   5    702
110006  10    828
110006  15    883
110006  20    836
110006  25    851
110006  30    730
110006  35    717
110006  40    603
110006  45    573
110006  50    482
110006  55    428
110006  60    290
110006  65    251
110006  70    217
110006  75    102
110006  80    113
110007   0     61
110007   1    237
110007   5    355
110007  10    425
110007  15    449
110007  20    332
110007  25    353
110007  30    369
110007  35    328
110007  40    274
110007  45    224
110007  50    187
110007  55    151
110007  60    113
110007  65     87
110007  70     60
110007  75     35
110007  80     32
110008   0    121
110008   1    579
110008   5    755
110008  10    811
110008  15    647
110008  20    561
110008  25    603
110008  30    552
110008  35    435
110008  40    338
110008  45    277
110008  50    270
110008  55    179
110008  60    137
110008  65     87
110008  70     57
110008  75     30
110008  80     37
110094   0    155
110094   1    595
110094   5    855
110094  10    869
110094  15    794
110094  20    646
110094  25    742
110094  30    671
110094  35    534
110094  40    417
110094  45    352
110094  50    283
110094  55    190
110094  60    138
110094  65     72
110094  70     44
110094  75     23
110094  80     18
110009   0    219
110009   1    942
110009   5   1242
110009  10   1413
110009  15   1373
110009  20   1344
110009  25   1325
