  Muni Age    Pop
110001   0    193
110001   1    763
110001   5   1073
110001  10   1256
110001  15   1362
110001  20   1105
110001  25   1053
110001  30    951
110001  35    878
110001  40    913
110001  45    846
110001  50    631
110001  55    489
110001  60    351
110001  65    301
110001  70    239
110001  75    154
110001  80     98
110037   0    125
110037   1    438
110037   5    639
110037  10    731
110037  15    773
110037  20    539
110037  25    518
110037  30    513
110037  35    511
110037  40    475
110037  45    404
110037  50    283
110037  55    251
110037  60    193
110037  65    160
110037  70     87
110037  75     58
110037  80     41
110040   0    148
110040   1    564
110040   5    880
110040  10   1010
110040  15    864
110040  20    723
110040  25    702
110040  30    713
110040  35    704
110040  40    641
110040  45    569
110040  50    445
110040  55    309
110040  60    254
110040  65    203
110040  70    148
110040  75     85
110040  80     60
110034   0    119
110034   1    540
110034   5    751
110034  10    907
110034  15    906
110034  20    712
110034  25    701
110034  30    644
110034  35    580
110034  40    639
110034  45    519
110034  50    458
110034  55    373
110034  60    264
110034  65    199
110034  70    172
110034  75     96
110034  80     98
110002   0    720
110002   1   2925
110002   5   4177
110002  10   4740
110002  15   4479
110002  20   4456
110002  25   4161
110002  30   3755
110002  35   3431
110002  40   3291
110002  45   2613
110002  50   2070
110002  55   1515
110002  60   1110
110002  65    788
110002  70    607
110002  75    374
110002  80    331
110045   0    324
110045   1   1167
110045   5   1669
110045  10   1772
110045  15   1629
110045  20   1498
110045  25   1500
110045  30   1462
110045  35   1255
110045  40   1125
110045  45    867
110045  50    738
110045  55    550
110045  60    444
110045  65    325
110045  70    203
110045  75    127
110045  80     86
110003   0     43
110003   1    197
110003   5    253
110003  10    313
110003  15    317
110003  20    226
110003  25    250
110003  30    237
110003  35    242
110003  40    247
110003  45    213
110003  50    206
110003  55    163
110003  60    118
110003  65     99
110003  70     69
110003  75     43
110003  80     30
110060   0     42
110060   1    204
110060   5    273
110060  10    302
110060  15    280
110060  20    222
110060  25    240
110060  30    218
110060  35    232
110060  40    216
110060  45    162
110060  50    139
110060  55    130
110060  60     98
110060  65     80
110060  70     69
